ORF, GSM114368, GSM114370, GSM114371, GSM114372, GSM114383, GSM114384, GSM114385, GSM114386, GSM114612, GSM114613, GSM114614, GSM114615, GSM116024, GSM116025, GSM116026, GSM116027, GSM116028, GSM116029, GSM116030, GSM116031
b2298,-1.001570932,-0.349305799,-0.349305799,-0.349305799,-0.349305799,-0.421878502,-0.03316699,-0.03316699,-0.159815676,-0.159815676,0.189817178,0.183129857,0.183129857,0.181660328,0.172283701,0.172283701,0.172283701,0.223092773,0.223092773,
b1179,-0.260707934,0.299700262,0.137118434,0.041544668,0.041544668,0.041544668,-0.065521885,-0.000932345,-0.082511704,-0.009543814,-0.009543814,0.126758102,0.022108133,0.048835967,0.048835967,0.04972019,0.001516612,0.001587407,-0.03692102,-0.033109439
b0708,0.168282581,0.168282581,0.207297016,0.207297016,0.207297016,0.207297016,0.04445058,0.309435236,0.472045698,0.354926689,0.290184775,0.215599309,0.175952732,0.107007836,0.11326345,0.116605376,0.087723992,0.112675959,0.112675959,0.117395052
b1650,0.133570267,0.165332425,0.15762392,0.16892222,0.091489646,0.083232332,0.075111955,0.232235112,0.335592685,0.335592685,0.197616025,0.197616025,0.23226748,0.207968262,0.1754385,0.1754385,0.1754385,0.1754385,0.1754385,0.1754385
b1877,-0.855514453,-0.072663515,0.265483509,0.265483509,0.265483509,0.265483509,0.518999998,0.518999998,0.416407851,0.416407851,0.416407851,0.339187361,0.339187361,0.339187361,0.249027396,0.249027396,0.263557552,0.254774717,0.254774717,0.254774717
b1876,0.286111989,0.286111989,-0.210294478,-0.210294478,-0.210294478,-0.210294478,-0.210294478,-0.210294478,-0.210294478,0.062261424,0.062261424,0.062261424,-0.096258503,-0.096258503,-0.096258503,-0.040785091,-0.026288123,0.029303591,0.116146936,0.115049033
b1655,-0.333788803,-0.333788803,-0.333788803,-0.333788803,-0.333788803,-0.333788803,-0.333788803,-0.333788803,-0.186448717,-0.186448717,-0.186448717,-0.186448717,-0.186448717,-0.372584062,-0.414842005,-0.181446797,-0.181446797,-0.262189187,-0.190037824,-0.190037824
b1654,0.281055925,0.423431271,0.423431271,0.423431271,0.210074425,0.204542161,0.104546314,0.104546314,0.052540567,0.119139082,0.095541729,0.173347852,0.10921574,0.076512087,0.059193575,0.051492932,0.045114173,0.006566764,0.034629875,0.025061365
b0878,-1.530846308,-0.740992338,-0.411782672,-0.411782672,-0.285616412,-0.299301682,-0.194537453,-0.094669634,0.064285388,0.106245004,0.124389042,0.103921996,0.098403882,0.11126674,0.11126674,0.11126674,0.115031789,0.115031789,0.128938894,0.128938894
b0879,1.784631615,1.784631615,1.784631615,1.499368318,0.914703572,0.781519208,0.781519208,0.781519208,0.773683028,0.773683028,0.703540965,0.703540965,0.703540965,0.678328063,0.498032781,0.450504276,0.364733431,0.36085197,0.306653936,0.326492683
